[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] debug: bm25f candidates pool=200 candidates=200
[dense] debug: candidate similarities scored scored=200 missing_vectors=False
[dense] debug: fuxvec prefilter codes=876 width=500 scanned=500 rescued=200
[query] info: hybrid fusion rrf_k=60 results=200 dense_global_rescues=200
[lexical] trace: ranked chunk file=docs/adr/0006-settlement-window-t-plus-three.md ordinal=0 rrf=0.04892
[lexical] trace: ranked chunk file=docs/adr/0018-settlement-window-t-plus-two.md ordinal=0 rrf=0.04813
[lexical] trace: ranked chunk file=docs/guides/architecture-overview.md ordinal=0 rrf=0.04538
[lexical] trace: ranked chunk file=docs/meetings/2025-01-01-settlement-window-change.md ordinal=0 rrf=0.04524
[lexical] trace: ranked chunk file=src/payments/sign_card_0040.py ordinal=0 rrf=0.04293
[lexical] trace: ranked chunk file=docs/meetings/2025-07-27-settlement-window-change.md ordinal=0 rrf=0.04287
[lexical] trace: ranked chunk file=docs/adr/0031-refuse-payments.md ordinal=0 rrf=0.0427
[lexical] trace: ranked chunk file=docs/meetings/2025-04-26-settlement-window-change.md ordinal=0 rrf=0.04063
[lexical] trace: ranked chunk file=tests/payments/test_retry_card_0000.py ordinal=0 rrf=0.03944
[lexical] trace: ranked chunk file=tests/payments/test_apply_card_0145.py ordinal=0 rrf=0.03839
[lexical] trace: ranked chunk file=src/reconciliation/handle_settlement_0124.sql ordinal=0 rrf=0.03828
[lexical] trace: ranked chunk file=docs/adr/0016-reconcile-against-psp-feed-daily.md ordinal=0 rrf=0.03815
[lexical] trace: ranked chunk file=docs/guides/psp-connector-onboarding.md ordinal=0 rrf=0.03813
[lexical] trace: ranked chunk file=src/reconciliation/verify_settlement_0114.sql ordinal=0 rrf=0.03774
[lexical] trace: ranked chunk file=docs/meetings/2025-10-28-settlement-window-change.md ordinal=0 rrf=0.03773
[lexical] trace: ranked chunk file=src/reconciliation/parse_settlement_0024.sql ordinal=0 rrf=0.03748
[lexical] trace: ranked chunk file=tests/payments/test_retry_card_0035.py ordinal=0 rrf=0.03742
[lexical] trace: ranked chunk file=docs/reference/platform-architecture.md ordinal=5 rrf=0.03711
[lexical] trace: ranked chunk file=src/reconciliation/verify_settlement_0164.sql ordinal=0 rrf=0.03697
[lexical] trace: ranked chunk file=docs/adr/0033-cache-reconciliation.md ordinal=0 rrf=0.03612
[lexical] trace: ranked chunk file=docs/meetings/2025-08-18-refund-window-policy.md ordinal=0 rrf=0.03556
[lexical] trace: ranked chunk file=docs/adr/0045-back-ledger.md ordinal=0 rrf=0.03478
[lexical] trace: ranked chunk file=docs/runbooks/settlement-batch-stuck.md ordinal=0 rrf=0.03315
[lexical] trace: ranked chunk file=tests/reconciliation/test_retry_settlement_0104.py ordinal=0 rrf=0.03307
[lexical] trace: ranked chunk file=docs/meetings/2025-02-12-connector-onboarding.md ordinal=0 rrf=0.03303
[lexical] trace: ranked chunk file=docs/guides/legacy-card-storage.md ordinal=0 rrf=0.03232
[lexical] trace: ranked chunk file=docs/guides/configuring-feature-flags.md ordinal=0 rrf=0.03229
[lexical] trace: ranked chunk file=docs/reference/platform-architecture.md ordinal=1 rrf=0.03138
[lexical] trace: ranked chunk file=docs/meetings/2025-05-17-refund-window-policy.md ordinal=0 rrf=0.03082
[lexical] trace: ranked chunk file=docs/api/refunds.md ordinal=0 rrf=0.03079
[lexical] trace: ranked chunk file=docs/guides/estimating-a-payout-date.md ordinal=0 rrf=0.0305
[lexical] trace: ranked chunk file=tests/reconciliation/test_verify_settlement_0044.py ordinal=0 rrf=0.03044
[lexical] trace: ranked chunk file=src/payments/resolve_wallet_0145.py ordinal=0 rrf=0.03033
[lexical] trace: ranked chunk file=src/payments/resolve_card_0260.py ordinal=0 rrf=0.03003
[lexical] trace: ranked chunk file=docs/rfcs/105-idempotency-store.md ordinal=0 rrf=0.02966
[lexical] trace: ranked chunk file=docs/runbooks/chargeback-dispute-response.md ordinal=0 rrf=0.02963
[lexical] trace: ranked chunk file=docs/runbooks/legacy-dispute-7day.md ordinal=0 rrf=0.02947
[lexical] trace: ranked chunk file=src/payments/retry_card_0070.py ordinal=0 rrf=0.0294
[lexical] trace: ranked chunk file=docs/guides/onboarding-to-on-call.md ordinal=0 rrf=0.02898
[lexical] trace: ranked chunk file=docs/adr/0005-store-amounts-in-minor-units.md ordinal=0 rrf=0.02861
[lexical] trace: ranked chunk file=docs/api/v1-payments-id.md ordinal=0 rrf=0.02714
[lexical] trace: ranked chunk file=docs/meetings/2025-06-24-dunning-schedule-review.md ordinal=0 rrf=0.02666
[lexical] trace: ranked chunk file=docs/guides/writing-an-idempotent-consumer.md ordinal=0 rrf=0.02653
