[query] info: retrieve seed=text k=200 lexical_only=False
[lexical] debug: bm25f candidates pool=200 candidates=200
[dense] debug: candidate similarities scored scored=200 missing_vectors=False
[dense] debug: fuxvec prefilter codes=891 width=500 scanned=500 rescued=200
[query] info: hybrid fusion rrf_k=60 results=200 dense_global_rescues=200
[lexical] trace: ranked chunk file=docs/adr/0012-same-day-cutoff-1200.md ordinal=0 rrf=0.04892
[lexical] trace: ranked chunk file=docs/adr/0024-same-day-cutoff-1400.md ordinal=0 rrf=0.04865
[lexical] trace: ranked chunk file=docs/adr/0040-add-10.md ordinal=0 rrf=0.04526
[lexical] trace: ranked chunk file=src/shipping/cutoff_174.py ordinal=0 rrf=0.04495
[lexical] trace: ranked chunk file=docs/guides/slotting-guide-01.md ordinal=0 rrf=0.04478
[lexical] trace: ranked chunk file=docs/meetings/2025-11-19-010.md ordinal=0 rrf=0.04461
[lexical] trace: ranked chunk file=docs/adr/0025-cross-dock-flagged-inbound.md ordinal=0 rrf=0.04328
[lexical] trace: ranked chunk file=docs/meetings/2025-05-17-040.md ordinal=0 rrf=0.04327
[lexical] trace: ranked chunk file=docs/runbooks/short-pick-handling.md ordinal=0 rrf=0.0424
[lexical] trace: ranked chunk file=src/shipping/cutoff_309.py ordinal=0 rrf=0.04207
[lexical] trace: ranked chunk file=docs/postmortems/2025-04-22-picking-02.md ordinal=0 rrf=0.04116
[lexical] trace: ranked chunk file=docs/postmortems/2026-01-peak-putwall-backup.md ordinal=0 rrf=0.04113
[lexical] trace: ranked chunk file=tests/shipping/test_cutoff_119.py ordinal=0 rrf=0.04094
[lexical] trace: ranked chunk file=docs/meetings/2025-03-15-014.md ordinal=0 rrf=0.04036
[lexical] trace: ranked chunk file=docs/meetings/2025-08-18-025.md ordinal=0 rrf=0.04008
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=7 rrf=0.04005
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=5 rrf=0.0394
[lexical] trace: ranked chunk file=docs/adr/0007-zone-picking-with-putwall.md ordinal=0 rrf=0.03673
[lexical] trace: ranked chunk file=docs/guides/slotting-guide-16.md ordinal=0 rrf=0.03504
[lexical] trace: ranked chunk file=docs/postmortems/2025-12-10-inbound-00.md ordinal=0 rrf=0.0349
[lexical] trace: ranked chunk file=docs/meetings/2025-09-13-044.md ordinal=0 rrf=0.03419
[lexical] trace: ranked chunk file=tests/shipping/test_cutoff_59.py ordinal=0 rrf=0.03388
[lexical] trace: ranked chunk file=docs/adr/0032-use-02.md ordinal=0 rrf=0.03207
[lexical] trace: ranked chunk file=docs/adr/0038-scope-08.md ordinal=0 rrf=0.03195
[lexical] trace: ranked chunk file=tests/shipping/test_cutoff_159.py ordinal=0 rrf=0.03127
[lexical] trace: ranked chunk file=docs/guides/shipping-guide-09.md ordinal=0 rrf=0.03033
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=6 rrf=0.03013
[lexical] trace: ranked chunk file=docs/adr/0034-snapshot-04.md ordinal=0 rrf=0.02988
[lexical] trace: ranked chunk file=docs/adr/0028-single-writer-per-sorter-lane.md ordinal=0 rrf=0.02954
[lexical] trace: ranked chunk file=docs/adr/0045-group-15.md ordinal=0 rrf=0.02898
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=0 rrf=0.02887
[lexical] trace: ranked chunk file=docs/guides/shipping-guide-04.md ordinal=0 rrf=0.02878
[lexical] trace: ranked chunk file=docs/guides/slotting-guide-11.md ordinal=0 rrf=0.02877
[lexical] trace: ranked chunk file=docs/rfcs/105-inbound-note-05.md ordinal=0 rrf=0.02858
[lexical] trace: ranked chunk file=docs/guides/shipping-guide-19.md ordinal=0 rrf=0.02846
[lexical] trace: ranked chunk file=docs/reference/platform-reference.md ordinal=2 rrf=0.0277
[lexical] trace: ranked chunk file=docs/guides/picking-guide-12.md ordinal=0 rrf=0.02769
[lexical] trace: ranked chunk file=docs/rfcs/107-picking-note-07.md ordinal=0 rrf=0.02764
[lexical] trace: ranked chunk file=docs/runbooks/legacy-short-pick-hold.md ordinal=0 rrf=0.02741
[lexical] trace: ranked chunk file=docs/guides/packing-guide-08.md ordinal=0 rrf=0.02724
[lexical] trace: ranked chunk file=docs/guides/carrier-cutoffs.md ordinal=0 rrf=0.02717
[lexical] trace: ranked chunk file=docs/rfcs/103-packing-note-03.md ordinal=0 rrf=0.02702
[lexical] trace: ranked chunk file=docs/guides/packing-guide-18.md ordinal=0 rrf=0.02691
[lexical] trace: ranked chunk file=docs/runbooks/replay-packing-23.md ordinal=0 rrf=0.02644
[lexical] trace: ranked chunk file=docs/api/wave-release.md ordinal=0 rrf=0.02627
