docs: 345
total raw bytes: 4109040  (11910 bytes/doc)

field             bytes     pct  bytes/doc
terms           3751548   91.3%    10874.1
edges            142966    3.5%      414.4
phrases           90436    2.2%      262.1
title             18650    0.5%       54.1
id                18007    0.4%       52.2
loc               16282    0.4%       47.2
code              15525    0.4%       45.0
sha               14490    0.4%       42.0
mode               3795    0.1%       11.0
meta               2415    0.1%        7.0
src                1725    0.0%        5.0
wlen               1152    0.0%        3.3
ver                 345    0.0%        1.0
