q,n_top5,n_tied_rows,order_differs,declared_top5,id_top5
1,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/postmortem-checkout-outage.md,file:docs/reference-deployment-tiers.md|file:docs/guide-onboarding.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/postmortem-checkout-outage.md
2,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-onboarding.md|file:docs/reference-calderctl.md,file:docs/reference-deployment-tiers.md|file:docs/adr-0019-calder-gateway.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-onboarding.md|file:docs/reference-calderctl.md
3,5,0,0,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/reference-calderctl.md|file:docs/policy-data-retention.md,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/guide-oncall-rota.md|file:docs/reference-calderctl.md|file:docs/policy-data-retention.md
md,5,0,0,file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md,file:docs/runbook-mesh-rollback-legacy.md|file:docs/adr-0019-calder-gateway.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md
servic,5,0,0,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/reference-calderctl.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md,file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md|file:docs/reference-calderctl.md|file:docs/adr-0007-helix-mesh.md|file:docs/guide-oncall-rota.md
tag,0,0,0,,
than,5,0,0,file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/postmortem-checkout-outage.md,file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/policy-data-retention.md|file:docs/runbook-gateway-rollback.md|file:docs/postmortem-checkout-outage.md
tier,5,0,0,file:docs/reference-deployment-tiers.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/runbook-gateway-rollback.md,file:docs/reference-deployment-tiers.md|file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/runbook-mesh-rollback-legacy.md|file:docs/runbook-gateway-rollback.md
titl,1,0,0,file:docs/postmortem-checkout-outage.md,file:docs/postmortem-checkout-outage.md
calder,5,0,0,file:docs/adr-0019-calder-gateway.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md,file:docs/adr-0019-calder-gateway.md|file:docs/guide-onboarding.md|file:docs/runbook-gateway-rollback.md|file:docs/adr-0007-helix-mesh.md|file:docs/reference-calderctl.md
deploy,3,0,0,file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md,file:docs/reference-calderctl.md|file:docs/guide-onboarding.md|file:docs/reference-deployment-tiers.md
gatewai,5,0,0,file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md,file:docs/runbook-gateway-rollback.md|file:docs/reference-calderctl.md|file:docs/adr-0019-calder-gateway.md|file:docs/guide-oncall-rota.md|file:docs/runbook-mesh-rollback-legacy.md
