query,n_docs,n_scores_differing,top5_same_exact,top5_same_round9
"0001_ingest",396,0,1,1
"0009_index",434,0,1,1
"0014",65,0,1,1
"0017",33,0,1,1
"0017_enriched",180,122,1,1
"0024",37,0,1,1
"0024_docs",631,0,1,1
"0027_runtime",202,151,1,1
"0031_refer",396,0,1,1
"0035_agent",322,0,1,1
"0042_locks",133,0,1,1
"0045_confidence",205,0,1,1
"0052_url",207,126,1,1
"0161",19,0,1,1
"025420",2,0,1,1
"02763",2,0,1,1
"03",59,0,1,1
"043026",2,0,1,1
"04949",2,0,1,1
"060583",2,0,1,1
"065",4,0,1,1
"06976",8,0,1,1
"077530",2,0,1,1
"088",9,0,1,1
"0e",3,0,1,1
"1171",3,0,1,1
"1198",4,0,1,1
"120",38,0,1,1
"124",6,0,1,1
"12t00",0,0,1,1
"132",5,0,1,1
"158",5,0,1,1
"16",110,0,1,1
"16hex",1,0,1,1
"1811",4,0,1,1
"2011",16,0,1,1
"224",4,0,1,1
"2305",0,0,1,1
"2312",0,0,1,1
"236",5,0,1,1
"2412",2,0,1,1
"244",6,0,1,1
"2502",2,0,1,1
"2603",4,0,1,1
"2707",0,0,1,1
"27t15",0,0,1,1
"291",5,0,1,1
"294",5,0,1,1
"2c",6,0,1,1
"2d4f19bcd8f8af905da1103648c3df21007d3255",3,0,1,1
"30s",5,0,1,1
"368",3,0,1,1
"39",13,0,1,1
"417",7,0,1,1
"41z",1,0,1,1
"4242",1,0,1,1
"429",27,0,1,1
"432",6,0,1,1
"446",4,0,1,1
"46",41,0,1,1
"47",38,0,1,1
"512",15,0,1,1
"533",6,0,1,1
"543",4,0,1,1
"5509030",2,0,1,1
"57",39,0,1,1
"5833",2,0,1,1
"5c",7,0,1,1
"602",4,0,1,1
"61abfc1c7540bf7b0626fbb9de360a42496b5908",3,0,1,1
"633",3,0,1,1
"691",3,0,1,1
"6a",5,0,1,1
"70d128b81140b42d",1,0,1,1
"720",7,0,1,1
"73",27,0,1,1
"737",4,0,1,1
"75ade572165cf06161bc58d0d8519f771da37636",3,0,1,1
"7674",0,0,1,1
"7734",1,0,1,1
"7743649",1,0,1,1
"781",5,0,1,1
"7c",8,0,1,1
"803",3,0,1,1
"825",6,0,1,1
"83c1888",2,0,1,1
"855",16,0,1,1
"862",4,0,1,1
"870",25,0,1,1
"8x",11,0,1,1
"9",264,0,1,1
"900s",2,0,1,1
"901",5,0,1,1
"920",3,0,1,1
"94",30,0,1,1
"946",3,0,1,1
"947",4,0,1,1
"964",3,0,1,1
"9c",4,0,1,1
"_boundary_re",416,0,1,1
"_dense_ids",342,0,1,1
"_generated_kind",364,216,1,1
"_parse_debug",191,105,1,1
"_positive_int",130,0,1,1
"_rank_of",339,0,1,1
"_stale_locks",276,0,1,1
"_tools",3,0,1,1
"a8adb22",2,0,1,1
"accru",6,0,1,1
"acquisit",7,0,1,1
"affect",61,0,1,1
"afterward",39,0,1,1
"agent",302,0,1,1
"amplifi",2,0,1,1
"and",0,0,1,1
"archived_weight",568,0,1,1
"arriv",86,0,1,1
"assessor",2,0,1,1
"assumpt",34,0,1,1
"atla",1,0,1,1
"audibl",1,0,1,1
"awar",66,0,1,1
"b",306,0,1,1
"backoff",11,0,1,1
"backslash",2,0,1,1
"badger",2,0,1,1
"band",86,0,1,1
"baselin",110,0,1,1
"began",4,0,1,1
"belief",3,0,1,1
"bigger",23,0,1,1
"bilkent",3,0,1,1
"billion",6,0,1,1
"bipartit",2,0,1,1
"bite",34,0,1,1
"bloat",4,0,1,1
"breakpoint",3,0,1,1
"brute",3,0,1,1
"bryk",1,0,1,1
"budiu",1,0,1,1
"build_index",497,0,1,1
"built",259,0,1,1
"c2",15,0,1,1
"cast",3,0,1,1
"cdf52ca",1,0,1,1
"cdpsession",5,0,1,1
"censu",0,0,1,1
"centr",5,0,1,1
"checkpoint",7,0,1,1
"choic",71,0,1,1
"class",177,0,1,1
"classifi",52,0,1,1
"cleanli",46,0,1,1
"clear",123,0,1,1
"cmd_graph",217,0,1,1
"codec",13,0,1,1
"coffe",0,0,1,1
"color",8,0,1,1
"commit_cache",443,0,1,1
"comp",1,0,1,1
"complex",16,0,1,1
"compli",4,0,1,1
"compos",0,0,1,1
"concaten",2,0,1,1
"condens",0,0,1,1
"connot",1,0,1,1
"contact",25,0,1,1
"contain",181,0,1,1
"contradictori",5,0,1,1
"core",89,0,1,1
"correct",281,0,1,1
"cpp",1,0,1,1
"cri",1,0,1,1
"cronen",2,0,1,1
"crowd",8,0,1,1
"crude",1,0,1,1
"cursor",24,0,1,1
"cutoff",25,0,1,1
"d3",3,0,1,1
"d3cd187",1,0,1,1
"daemonsweepterm",3,0,1,1
"dcc",1,0,1,1
"dedic",13,0,1,1
"dedupl",3,0,1,1
"deep",27,0,1,1
"def",19,0,1,1
"defer",106,0,1,1
"deliveri",21,0,1,1
"deserv",13,0,1,1
"detector",10,0,1,1
"devop",1,0,1,1
"devtool",11,0,1,1
"diagnost",44,0,1,1
"difficulti",10,0,1,1
"ding",8,0,1,1
"disambigu",7,0,1,1
"dismantl",1,0,1,1
"displai",51,0,1,1
"displaycach",7,0,1,1
"disprov",7,0,1,1
"distanc",9,0,1,1
"distilbert",1,0,1,1
"django",3,0,1,1
"doc_registry",631,0,1,1
"document",483,0,1,1
"dont",1,0,1,1
"download",39,0,1,1
"dst",8,0,1,1
"dtype",0,0,1,1
"duti",16,0,1,1
"ecir",2,0,1,1
"ecma",0,0,1,1
"em",5,0,1,1
"emb",55,0,1,1
"enclos",0,0,1,1
"encycloped",0,0,1,1
"entiti",28,0,1,1
"entra",3,0,1,1
"entry_size",333,0,1,1
"essenti",5,0,1,1
"everywher",0,0,1,1
"evidenti",2,0,1,1
"exaclust",1,0,1,1
"exist",426,0,1,1
"existing_urls",468,104,1,1
"expand_bench",121,0,1,1
"exposur",21,0,1,1
"extrapol",19,0,1,1
"face",58,0,1,1
"fact",140,108,1,1
"fals",0,0,1,1
"favor",7,0,1,1
"feed",56,0,1,1
"fell",23,0,1,1
"fetcher",97,0,1,1
"fi",6,0,1,1
"fig1",2,0,1,1
"finer",1,0,1,1
"focu",17,0,1,1
"forc",120,0,1,1
"forg",9,0,1,1
"form",115,0,1,1
"fourth",49,0,1,1
"fr940104",1,0,1,1
"fuse",73,0,1,1
"fux_search",576,0,1,1
"g",95,0,1,1
"gc",4,0,1,1
"gcc",1,0,1,1
"gem",2,0,1,1
"gi",2,0,1,1
"gitattribut",14,0,1,1
"gospodinov",0,0,1,1
"gpg",1,0,1,1
"grafana",1,0,1,1
"grounded",154,0,1,1
"hal",1,0,1,1
"hand",229,0,1,1
"happen",165,0,1,1
"headroom",35,26,1,1
"help",72,0,1,1
"herscovici",2,0,1,1
"hf",2,0,1,1
"hold",267,0,1,1
"hook",162,0,1,1
"hunk",8,0,1,1
"hyperfin",2,0,1,1
"idempot",53,0,1,1
"ieee",3,0,1,1
"illeg",8,0,1,1
"imagedoc",7,0,1,1
"implaus",0,0,1,1
"import",182,0,1,1
"inact",2,0,1,1
"inapplic",0,0,1,1
"incomplet",16,0,1,1
"inequ",5,0,1,1
"info",26,0,1,1
"inform",140,103,1,1
"inherit",63,0,1,1
"inidoc",5,0,1,1
"inject",40,31,1,1
"instal",175,0,1,1
"insur",7,0,1,1
"inter_op_num_threads",105,0,1,1
"interv",55,0,1,1
"invalid",64,0,1,1
"invari",86,0,1,1
"invers",0,0,1,1
"ipsum",1,0,1,1
"jagerman",0,0,1,1
"jira",22,0,1,1
"jsonlin",1,0,1,1
"justif",18,0,1,1
"kernel",36,0,1,1
"l262",1,0,1,1
"l292",1,0,1,1
"l3",84,0,1,1
"l4",52,0,1,1
"l40",14,0,1,1
"l6",17,0,1,1
"l756",1,0,1,1
"l94",1,0,1,1
"last",144,105,1,1
"launder",3,0,1,1
"lean_searcher",55,0,1,1
"learn",69,0,1,1
"legitim",62,0,1,1
"len",31,0,1,1
"leverag",5,0,1,1
"lexicograph",5,0,1,1
"line_end",401,0,1,1
"lipani",1,0,1,1
"lipani2018",1,0,1,1
"list",295,281,1,1
"load_output",328,0,1,1
"logic",33,0,1,1
"logo",12,0,1,1
"louder",1,0,1,1
"lowercas",0,0,1,1
"macdonald",1,0,1,1
"machineri",39,0,1,1
"mackenzi",5,0,1,1
"major",56,0,1,1
"mangl",2,0,1,1
"manifest",123,0,1,1
"manipul",2,0,1,1
"market",18,0,1,1
"math",24,0,1,1
"max_sweeps",267,67,1,1
"merge_shards",235,90,1,1
"methodolog",8,0,1,1
"metric",105,0,1,1
"metzler",1,0,1,1
"michael",1,0,1,1
"microsoft",14,0,1,1
"misconfig",7,0,1,1
"modern",4,0,1,1
"modulo",1,0,1,1
"monei",37,0,1,1
"monthli",7,0,1,1
"mst",20,0,1,1
"mutex",9,0,1,1
"n",229,0,1,1
"nacl",1,0,1,1
"naiv",23,0,1,1
"nan",0,0,1,1
"narrowest",1,0,1,1
"nativ",45,0,1,1
"nearli",28,0,1,1
"necess",1,0,1,1
"newer",21,0,1,1
"newest",17,0,1,1
"newest_mtime",58,0,1,1
"no_user",564,0,1,1
"nondetermin",4,0,1,1
"nonetyp",3,0,1,1
"nope",6,0,1,1
"normalize_embeddings",144,0,1,1
"officedocu",3,0,1,1
"on",0,0,1,1
"only_urls",539,444,1,1
"open",378,0,1,1
"openprocess",2,0,1,1
"oscil",1,0,1,1
"outbound",21,0,1,1
"outerhtml",9,0,1,1
"overcom",6,0,1,1
"overhead",15,0,1,1
