chunk_index,doc,ordinal,cosine,int8_identical
0,docs/01-sop-temperature-excursion.md,0,1.000000000,1
1,docs/01-sop-temperature-excursion.md,1,1.000000000,1
2,docs/01-sop-temperature-excursion.md,2,1.000000000,1
3,docs/01-sop-temperature-excursion.md,3,1.000000000,1
4,docs/01-sop-temperature-excursion.md,4,1.000000000,1
5,docs/01-sop-temperature-excursion.md,5,1.000000000,1
6,docs/01-sop-temperature-excursion.md,6,1.000000000,1
7,docs/01-sop-temperature-excursion.md,7,1.000000000,1
8,docs/01-sop-temperature-excursion.md,8,1.000000000,1
9,docs/01-sop-temperature-excursion.md,9,1.000000000,1
10,docs/01-sop-temperature-excursion.md,10,1.000000000,1
11,docs/01-sop-temperature-excursion.md,11,1.000000000,1
12,docs/01-sop-temperature-excursion.md,12,1.000000000,1
13,docs/01-sop-temperature-excursion.md,13,1.000000000,1
14,docs/01-sop-temperature-excursion.md,14,1.000000000,1
15,docs/01-sop-temperature-excursion.md,15,1.000000000,1
16,docs/03-postmortem-nagpur-vaccine-excursion.md,0,1.000000000,1
17,docs/03-postmortem-nagpur-vaccine-excursion.md,1,1.000000000,1
18,docs/03-postmortem-nagpur-vaccine-excursion.md,2,1.000000000,1
19,docs/03-postmortem-nagpur-vaccine-excursion.md,3,1.000000000,1
20,docs/03-postmortem-nagpur-vaccine-excursion.md,4,1.000000000,1
21,docs/03-postmortem-nagpur-vaccine-excursion.md,5,1.000000000,1
22,docs/03-postmortem-nagpur-vaccine-excursion.md,6,1.000000000,1
23,docs/03-postmortem-nagpur-vaccine-excursion.md,7,1.000000000,1
24,docs/03-postmortem-nagpur-vaccine-excursion.md,8,1.000000000,1
25,docs/03-postmortem-nagpur-vaccine-excursion.md,9,1.000000000,1
26,docs/03-postmortem-nagpur-vaccine-excursion.md,10,1.000000000,1
27,docs/03-postmortem-nagpur-vaccine-excursion.md,11,1.000000000,1
28,docs/03-postmortem-nagpur-vaccine-excursion.md,12,1.000000000,1
29,docs/03-postmortem-nagpur-vaccine-excursion.md,13,1.000000000,1
30,docs/03-postmortem-nagpur-vaccine-excursion.md,14,1.000000000,1
31,docs/03-postmortem-nagpur-vaccine-excursion.md,15,1.000000000,1
32,docs/03-postmortem-nagpur-vaccine-excursion.md,16,1.000000000,1
