rung,path,arm,rerank_weight,question_id,repeat,warmup,ok,ms
rung-00100,ask,off,0.0,g001,0,1,1,69.545
rung-00100,ask,on,1.0,g001,0,1,1,89.967
rung-00100,ask,off,0.0,g001,1,1,1,69.089
rung-00100,ask,on,1.0,g001,1,1,1,90.753
rung-00100,ask,off,0.0,g001,2,1,1,70.434
rung-00100,ask,on,1.0,g001,2,1,1,88.435
rung-00100,ask,off,0.0,g001,3,0,1,65.899
rung-00100,ask,on,1.0,g001,3,0,1,87.492
rung-00100,ask,off,0.0,g001,4,0,1,72.006
rung-00100,ask,on,1.0,g001,4,0,1,87.107
rung-00100,ask,off,0.0,g001,5,0,1,66.991
rung-00100,ask,on,1.0,g001,5,0,1,89.179
rung-00100,ask,off,0.0,g001,6,0,1,66.353
rung-00100,ask,on,1.0,g001,6,0,1,89.600
rung-00100,ask,off,0.0,g001,7,0,1,71.075
rung-00100,ask,on,1.0,g001,7,0,1,88.661
rung-00100,ask,off,0.0,g001,8,0,1,67.686
rung-00100,ask,on,1.0,g001,8,0,1,90.263
rung-00100,ask,off,0.0,g001,9,0,1,65.557
rung-00100,ask,on,1.0,g001,9,0,1,90.702
rung-00100,ask,off,0.0,g002,0,1,1,69.946
rung-00100,ask,on,1.0,g002,0,1,1,89.708
rung-00100,ask,off,0.0,g002,1,1,1,67.669
rung-00100,ask,on,1.0,g002,1,1,1,91.411
rung-00100,ask,off,0.0,g002,2,1,1,67.275
rung-00100,ask,on,1.0,g002,2,1,1,90.435
rung-00100,ask,off,0.0,g002,3,0,1,68.782
rung-00100,ask,on,1.0,g002,3,0,1,90.473
rung-00100,ask,off,0.0,g002,4,0,1,65.906
rung-00100,ask,on,1.0,g002,4,0,1,90.588
rung-00100,ask,off,0.0,g002,5,0,1,65.671
rung-00100,ask,on,1.0,g002,5,0,1,94.198
rung-00100,ask,off,0.0,g002,6,0,1,79.139
rung-00100,ask,on,1.0,g002,6,0,1,90.702
rung-00100,ask,off,0.0,g002,7,0,1,66.005
rung-00100,ask,on,1.0,g002,7,0,1,90.306
rung-00100,ask,off,0.0,g002,8,0,1,65.874
rung-00100,ask,on,1.0,g002,8,0,1,88.857
rung-00100,ask,off,0.0,g002,9,0,1,66.767
rung-00100,ask,on,1.0,g002,9,0,1,88.110
rung-00100,ask,off,0.0,g003,0,1,1,67.107
rung-00100,ask,on,1.0,g003,0,1,1,88.198
rung-00100,ask,off,0.0,g003,1,1,1,66.959
rung-00100,ask,on,1.0,g003,1,1,1,90.429
rung-00100,ask,off,0.0,g003,2,1,1,66.693
rung-00100,ask,on,1.0,g003,2,1,1,91.816
rung-00100,ask,off,0.0,g003,3,0,1,67.322
rung-00100,ask,on,1.0,g003,3,0,1,89.756
rung-00100,ask,off,0.0,g003,4,0,1,68.781
rung-00100,ask,on,1.0,g003,4,0,1,89.314
rung-00100,ask,off,0.0,g003,5,0,1,67.977
rung-00100,ask,on,1.0,g003,5,0,1,90.613
rung-00100,ask,off,0.0,g003,6,0,1,67.451
rung-00100,ask,on,1.0,g003,6,0,1,87.956
rung-00100,ask,off,0.0,g003,7,0,1,67.007
rung-00100,ask,on,1.0,g003,7,0,1,89.564
rung-00100,ask,off,0.0,g003,8,0,1,67.278
rung-00100,ask,on,1.0,g003,8,0,1,87.413
rung-00100,ask,off,0.0,g003,9,0,1,66.982
rung-00100,ask,on,1.0,g003,9,0,1,88.457
rung-00100,ask,off,0.0,g004,0,1,1,66.101
rung-00100,ask,on,1.0,g004,0,1,1,86.877
rung-00100,ask,off,0.0,g004,1,1,1,64.534
rung-00100,ask,on,1.0,g004,1,1,1,86.660
rung-00100,ask,off,0.0,g004,2,1,1,64.866
rung-00100,ask,on,1.0,g004,2,1,1,86.312
rung-00100,ask,off,0.0,g004,3,0,1,65.755
rung-00100,ask,on,1.0,g004,3,0,1,86.959
rung-00100,ask,off,0.0,g004,4,0,1,65.252
rung-00100,ask,on,1.0,g004,4,0,1,89.091
rung-00100,ask,off,0.0,g004,5,0,1,65.725
rung-00100,ask,on,1.0,g004,5,0,1,87.419
rung-00100,ask,off,0.0,g004,6,0,1,65.389
rung-00100,ask,on,1.0,g004,6,0,1,85.946
rung-00100,ask,off,0.0,g004,7,0,1,65.638
rung-00100,ask,on,1.0,g004,7,0,1,85.875
rung-00100,ask,off,0.0,g004,8,0,1,65.725
rung-00100,ask,on,1.0,g004,8,0,1,88.007
rung-00100,ask,off,0.0,g004,9,0,1,65.537
rung-00100,ask,on,1.0,g004,9,0,1,86.990
rung-00100,ask,off,0.0,g005,0,1,1,67.452
rung-00100,ask,on,1.0,g005,0,1,1,87.479
rung-00100,ask,off,0.0,g005,1,1,1,66.059
rung-00100,ask,on,1.0,g005,1,1,1,86.273
rung-00100,ask,off,0.0,g005,2,1,1,66.922
rung-00100,ask,on,1.0,g005,2,1,1,86.066
rung-00100,ask,off,0.0,g005,3,0,1,66.589
rung-00100,ask,on,1.0,g005,3,0,1,89.083
rung-00100,ask,off,0.0,g005,4,0,1,65.023
rung-00100,ask,on,1.0,g005,4,0,1,91.244
rung-00100,ask,off,0.0,g005,5,0,1,72.450
rung-00100,ask,on,1.0,g005,5,0,1,86.642
rung-00100,ask,off,0.0,g005,6,0,1,65.191
rung-00100,ask,on,1.0,g005,6,0,1,88.112
rung-00100,ask,off,0.0,g005,7,0,1,64.918
rung-00100,ask,on,1.0,g005,7,0,1,87.107
rung-00100,ask,off,0.0,g005,8,0,1,66.419
rung-00100,ask,on,1.0,g005,8,0,1,87.823
rung-00100,ask,off,0.0,g005,9,0,1,65.028
rung-00100,ask,on,1.0,g005,9,0,1,86.273
rung-00100,ask,off,0.0,g006,0,1,1,65.738
rung-00100,ask,on,1.0,g006,0,1,1,86.558
rung-00100,ask,off,0.0,g006,1,1,1,64.921
rung-00100,ask,on,1.0,g006,1,1,1,85.355
rung-00100,ask,off,0.0,g006,2,1,1,65.599
rung-00100,ask,on,1.0,g006,2,1,1,84.754
rung-00100,ask,off,0.0,g006,3,0,1,65.823
rung-00100,ask,on,1.0,g006,3,0,1,84.692
rung-00100,ask,off,0.0,g006,4,0,1,65.941
rung-00100,ask,on,1.0,g006,4,0,1,84.510
rung-00100,ask,off,0.0,g006,5,0,1,68.178
rung-00100,ask,on,1.0,g006,5,0,1,86.861
rung-00100,ask,off,0.0,g006,6,0,1,64.685
