run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q001,rare,0,1,1935.606
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q001,rare,0,1,1899.967
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,0,1,2198.020
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,0,1,26.145
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q001,rare,1,0,1937.892
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q001,rare,1,0,1907.749
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,1,0,2187.784
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,1,0,26.502
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q001,rare,2,0,1940.467
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q001,rare,2,0,1925.378
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,2,0,2222.111
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,2,0,27.207
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q001,rare,3,0,1965.561
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q001,rare,3,0,1910.490
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,3,0,2192.565
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q001,rare,3,0,27.099
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q002,rare,0,1,1963.565
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q002,rare,0,1,1911.569
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,0,1,2223.504
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,0,1,26.987
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q002,rare,1,0,1956.366
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q002,rare,1,0,1909.376
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,1,0,2201.830
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,1,0,26.573
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q002,rare,2,0,1952.075
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q002,rare,2,0,1913.646
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,2,0,2196.101
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,2,0,26.086
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q002,rare,3,0,1955.245
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q002,rare,3,0,1917.951
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,3,0,2185.391
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q002,rare,3,0,25.985
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q003,rare,0,1,1961.807
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q003,rare,0,1,1920.482
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,0,1,2189.779
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,0,1,26.133
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q003,rare,1,0,1974.464
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q003,rare,1,0,1913.459
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,1,0,2183.150
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,1,0,26.770
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q003,rare,2,0,1965.123
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q003,rare,2,0,1918.495
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,2,0,2194.529
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,2,0,26.439
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q003,rare,3,0,1964.115
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q003,rare,3,0,1913.790
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,3,0,2203.205
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q003,rare,3,0,26.500
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q004,rare,0,1,1971.324
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q004,rare,0,1,1918.091
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,0,1,2199.302
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,0,1,26.357
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q004,rare,1,0,1968.731
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q004,rare,1,0,1917.749
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,1,0,2227.533
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,1,0,26.486
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q004,rare,2,0,1953.664
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q004,rare,2,0,1919.248
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,2,0,2214.067
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,2,0,26.202
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q004,rare,3,0,1968.138
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q004,rare,3,0,1919.534
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,3,0,2196.246
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q004,rare,3,0,26.232
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q005,rare,0,1,1969.414
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q005,rare,0,1,1919.131
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,0,1,2197.339
2026-09-15-node-column,B-node-nograph,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,0,1,26.332
2026-09-15-node-column,A,1.0.0,docs-10000,scan,q005,rare,1,0,1963.923
2026-09-15-node-column,B,2.0.1,docs-10000,scan,q005,rare,1,0,1920.339
2026-09-15-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-10000,node,q005,rare,1,0,2203.598
