run,arm,version,corpus,path,query_id,class,repeat,warmup,ms
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,0,1,50.555
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,0,1,74.281
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,0,1,60.520
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,1,1,51.390
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,1,1,79.692
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,1,1,64.102
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,2,1,50.312
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,2,1,77.683
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,2,1,61.686
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,3,0,50.340
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,3,0,75.904
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,3,0,61.149
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,4,0,51.636
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,4,0,77.655
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,4,0,61.921
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,5,0,51.075
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,5,0,75.976
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,5,0,61.715
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,6,0,52.459
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,6,0,77.972
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,6,0,61.773
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,7,0,52.540
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,7,0,75.883
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,7,0,61.541
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,8,0,51.994
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,8,0,75.574
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,8,0,61.061
2026-09-16-node-column,A,1.0.0,docs-00100,scan,q001,rare,9,0,52.270
2026-09-16-node-column,B,2.0.1,docs-00100,scan,q001,rare,9,0,75.782
2026-09-16-node-column,B-node,fux 2.0.1 (node 24.13.0) — the read plane,docs-00100,node,q001,rare,9,0,62.912
